guessed,id,cert,true,notes
nl,22708.xml,0.4561794102191925,nl,
nl,30073.xml,0.4565161168575287,nl,
nl,20274.xml,0.4571079909801483,nl,
nl,36639.xml,0.4572666883468628,nl,
nl,3623.xml,0.45763009786605835,nl,
nl,12990.xml,0.4579102098941803,nl,
nl,8984.xml,0.45858582854270935,nl,
nl,26723.xml,0.45939087867736816,nl,
nl,22734.xml,0.45977845788002014,nl,
nl,162559.xml,0.4601881206035614,nl,
nl,38802.xml,0.4602181017398834,nl,
nl,185149.xml,0.46179112792015076,nl,
nl,3675.xml,0.46228766441345215,nl,
nl,4352.xml,0.46337148547172546,nl,
nl,3615.xml,0.46393707394599915,nl,
nl,40931.xml,0.46408000588417053,nl,
nl,4206.xml,0.46410423517227173,nl,
nl,184608.xml,0.46424055099487305,nl,
nl,2404.xml,0.46428078413009644,nl,
nl,23562.xml,0.4645891487598419,nl,
nl,3733.xml,0.46502602100372314,nl,
nl,19975.xml,0.46544453501701355,nl,
nl,7217.xml,0.46568813920021057,nl,
nl,147837.xml,0.4658266007900238,nl,
nl,33671.xml,0.46601855754852295,nl,
nl,34067.xml,0.4669818878173828,nl,
de,118982.xml,0.46712762117385864,"de, fr",
nl,190162.xml,0.4672834277153015,nl,
nl,3628.xml,0.4675476551055908,nl,
fr,10636.xml,0.46771061420440674,"nl, fr",
nl,2106.xml,0.46913233399391174,nl,
nl,176823.xml,0.4696378707885742,nl,
nl,3629.xml,0.46983468532562256,nl,
nl,1876.xml,0.47040143609046936,nl,
nl,5064.xml,0.4709026515483856,nl,
nl,192.xml,0.4709395468235016,nl,
nl,184784.xml,0.47102633118629456,nl,
nl,20607.xml,0.47105762362480164,nl,
la,13125.xml,0.4718937575817108,la,
nl,2084.xml,0.4725275933742523,nl,
nl,36612.xml,0.47290655970573425,nl,
nl,4500.xml,0.4730726182460785,nl,
de,24826.xml,0.4732254445552826,nl,
nl,191457.xml,0.47343212366104126,nl,
nl,40764.xml,0.4734600782394409,nl,
nl,10866.xml,0.4746004045009613,nl,
nl,34120.xml,0.47461584210395813,nl,
nl,53006.xml,0.47490307688713074,nl,
nl,23916.xml,0.47510015964508057,nl,
nl,36597.xml,0.4756816029548645,nl,
nl,148086.xml,0.47639915347099304,nl,
nl,34183.xml,0.47640717029571533,nl,
nl,22406.xml,0.47664961218833923,nl,
